"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-05-31,"DuBois, PA","PA",359,897,-0.0497881355932203,-0.0646506777893639,-0.0497881355932203,31445
2019-05-31,"Great Falls, MT","MT",360,1219,-0.00732899022801303,-0.006519967400163,0.0356839422259983,26581
2019-05-31,"Portsmouth, OH","OH",361,903,0.00110864745011086,0.00668896321070234,0.075,17147
2019-05-31,"Oak Harbor, WA","WA",362,1691,0.00654761904761905,0.01378896882494,0.0254699818071559,40041
2019-05-31,"Hinesville, GA","GA",363,1021,0.00196270853778214,0.00591133004926108,-0.0248328557784145,18217
2019-05-31,"Stillwater, OK","OK",364,1154,-0.00688468158347677,-0.0128314798973482,-0.0170357751277683,15423
2019-05-31,"Quincy, IL","IL",365,998,-0.0495238095238095,-0.0759259259259259,-0.0960144927536232,22956
2019-05-31,"Keene, NH","NH",366,1450,-0.00752908966461328,-0.014945652173913,0.0111576011157601,22033
2019-05-31,"Searcy, AR","AR",367,884,-0.0210409745293466,-0.0328227571115974,0.0363423212192263,24227
2019-05-31,"Columbus, IN","IN",368,1188,0.00253164556962025,0.00677966101694915,-0.00251889168765743,29610
2019-05-31,"Roanoke Rapids, NC","NC",369,900,0.0158013544018059,0.0262257696693273,0.0739856801909308,15699
2019-05-31,"Centralia, WA","WA",370,1254,-0.0180109631949883,-0.013375295043273,0.0857142857142857,24853
2019-05-31,"Helena, MT","MT",371,1289,-0.00309358081979892,-0.00540123456790123,0.0378421900161031,15770
2019-05-31,"Palatka, FL","FL",372,1034,0.00485908649173955,0.00583657587548638,-0.0408163265306122,17796
2019-05-31,"Mount Airy, NC","NC",373,1060,-0.00749063670411985,-0.0102707749766573,0.0927835051546392,13165
2019-05-31,"Key West, FL","FL",374,3380,-0.00412492634060106,-0.00412492634060106,0.0223835450695705,44733
2019-05-31,"Aberdeen, WA","WA",375,1069,0.0259117082533589,0.0408958130477118,0.110072689511942,32135
2019-05-31,"Gallup, NM","NM",376,1122,0.0369685767097967,0.0635071090047393,0.107601184600197,3566
2019-05-31,"Port Angeles, WA","WA",377,1471,-0.00135777325186694,-0.00540906017579446,0.0179930795847751,29949
2019-05-31,"Greenfield Town, MA","MA",378,1711,-0.0414565826330532,-0.0690968443960827,-0.0300453514739229,25260
2019-05-31,"Muskogee, OK","OK",379,667,-0.00298953662182362,0,0.0277349768875193,32568
2019-05-31,"Frankfort, KY","KY",380,1031,-0.01434034416826,-0.0152817574021012,0.0361809045226131,26418
2019-05-31,"Statesboro, GA","GA",381,1087,-0.00275229357798165,-0.00821167883211679,0.000920810313075506,17462
2019-05-31,"Shawnee, OK","OK",382,811,-0.00368550368550369,0.00123456790123457,0.0214105793450882,31003
2019-05-31,"North Wilkesboro, NC","NC",383,1102,-0.0081008100810081,-0.018699910952805,0.0515267175572519,18144
2019-05-31,"Richmond, IN","IN",384,810,-0.00735294117647059,-0.0133982947624848,0.021437578814628,27662
2019-05-31,"Greeneville, TN","TN",385,827,-0.021301775147929,-0.031615925058548,0.123641304347826,41804
2019-05-31,"Martinsville, VA","VA",386,913,-0.012972972972973,-0.0193340494092374,0.0032967032967033,23906
2019-05-31,"Forest City, NC","NC",387,1026,0.00984251968503937,0.0168483647175421,0.0743455497382199,44402
2019-05-31,"Lake City, FL","FL",388,1202,-0.0139458572600492,-0.0203748981255094,0.0415944540727903,14711
2019-05-31,"LaGrange, GA","GA",389,957,-0.00208550573514077,0.0148462354188759,0.0924657534246575,22264
2019-05-31,"Marion, OH","OH",390,860,0.0153482880755608,0.0311750599520384,0.075,24016
2019-05-31,"Morehead City, NC","NC",391,1365,0.0171385991058122,0.0294117647058823,0.136552872606162,39371
2019-05-31,"Klamath Falls, OR","OR",392,1144,-0.00348432055749129,-0.00174520069808028,0.0352941176470588,24335
2019-05-31,"Marshall, TX","TX",393,962,0.00208333333333333,0.00417536534446764,0.0136986301369863,21011
2019-05-31,"Clearlake, CA","CA",394,1475,-0.0113941018766756,-0.0166666666666667,0.00067842605156038,22427
2019-05-31,"Hutchinson, KS","KS",395,764,-0.00650195058517555,-0.00907911802853437,-0.0365699873896595,22754
2019-05-31,"Faribault, MN","MN",396,1407,-0.0133239831697055,-0.0201949860724234,0.00932568149210904,36763
2019-05-31,"Elizabeth City, NC","NC",397,1140,0,-0.000876424189307625,0.0196779964221825,21491
2019-05-31,"Alamogordo, NM","NM",398,952,-0.00104931794333683,0.00527983104540655,0.0744920993227991,14750
2019-05-31,"Red Bluff, CA","CA",399,1214,0.0331914893617021,0.0538194444444444,0.0705467372134039,12642
2019-05-31,"Hudson, NY","NY",400,1704,0.0383912248628885,0.065,0.109375,21797
2019-05-31,"Coos Bay, OR","OR",401,1307,-0.00608365019011407,-0.00683890577507599,0.0348376880443389,22374
2019-05-31,"Walla Walla, WA","WA",402,1322,0.0153609831029186,0.0224284609435422,0.0216383307573416,16432
2019-05-31,"Oneonta, NY","NY",403,1218,-0.0121654501216545,-0.0113636363636364,-0.0232558139534884,18794
2019-05-31,"Baraboo, WI","WI",404,1092,-0.031055900621118,-0.0496083550913838,-0.0126582278481013,22430
2019-05-31,"Marietta, OH","OH",405,1051,0.00863723608445298,0.0154589371980676,0.029382957884427,15412
2019-05-31,"Salina, KS","KS",406,855,0.00944510035419126,0.0190703218116806,0.00944510035419126,22130
2019-05-31,"Big Stone Gap, VA","VA",407,1001,0.00704225352112676,0.0121334681496461,0.0235173824130879,6866
2019-05-31,"Sturgis, MI","MI",408,996,0.00100502512562814,-0.004,-0.0282926829268293,23114
2019-05-31,"Fremont, OH","OH",409,1037,0.0107212475633528,0.018664047151277,0.0560081466395112,18211
2019-05-31,"Mount Vernon, OH","OH",410,1067,-0.00744186046511628,-0.012037037037037,-0.0138632162661738,16935
2019-05-31,"Lewiston, ID","ID",411,1307,0.0108275328692962,0.0139643134212568,0.0163297045101089,20979
2019-05-31,"Shelton, WA","WA",412,1412,-0.00493305144467935,-0.00633356790992259,-0.0070323488045007,23484
2019-05-31,"Albemarle, NC","NC",413,1076,-0.0323741007194245,-0.044404973357016,0.0208728652751423,21530
2019-05-31,"Enid, OK","OK",414,943,-0.00736842105263158,-0.00211640211640212,0.0227765726681128,17661
2019-05-31,"Jefferson, GA","GA",415,1364,0.00220426157237326,0.00887573964497041,0.028657616892911,21213
2019-05-31,"Georgetown, SC","SC",416,1579,-0.0265104808877929,-0.036019536019536,0.1310888252149,27300
