"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,2.19650623885918,2.07692307692308,2.0809925093633,2.10881469704999,2.08697660098522,2.18686510748878,2.18512274076072,2.15,2.0750469043152,2.08333333333333,2,1.9875,1.98639705882353,2.08,2.14088397790055,2.17808219178082,2.22538874752615,2.28410087719298,2.2690206185567,2.30352303523035,2.225,2.22666666666667,2.26086956521739,2.36904761904762,2.27083333333333,2.22080498866213,2.33333333333333,2.4,2.36458333333333,2.38509476098503,2.32560584461867,2.37341772151899,2.43744434345938,2.38431800158604,2.3840206185567,2.21291866028708,2.28571428571429,2.31666666666667,2.33138863778597,2.31481481481481,2.38360655737705,2.46666666666667,2.45643939393939,2.58673469387755,2.55845323741007,2.57575757575758,2.58336734693878,2.59073170731707,2.65,2.64243614931238,2.7375,2.73084479371316,2.74134419551935,2.73776908023483,2.79648549323017,2.85171102661597,2.92091528640442,2.91666666666667,2.93478260869565,2.95067962023824,2.95067962023824,3,2.99599198396794,3.05300728857723,3.08664344879518,3.07877459516804,3.1492730550867,3.21857513988809,3.10964083175803,3.125,3.10964083175803,3.125,3.05555555555556,3.26086956521739,3.48589045287638,3.54545454545455,3.47826086956522,3.4375,3.54175152749491,3.6330971659919,3.58333333333333,3.58367346938775,3.56500386270831,3.5,3.4875,3.33689839572193,3.53065179095713,3.54444444444444,3.56304347826087,3.66601178781925,3.66756272401434,3.67521367521368,3.7463768115942,3.73387096774194,3.79340028694405,3.8125,3.875,3.79946619217082,3.79547106850146,3.83979166666667,3.87102443923669,3.82594417077176
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36903353057199,2.36816355958389,2.42965779467681,2.44505494505495,2.4070796460177,2.3916532905297,2.43333333333333,2.46376811594203,2.56691531517346,2.57692307692308,2.61333333333333,2.64018691588785,2.6271186440678,2.65541740674956,2.62037037037037,2.65058046735152,2.60695652173913,2.58928571428571,2.60297239915074,2.58333333333333,2.54637436762226,2.59152798789713,2.63582966226138,2.70518518518519,2.78898007512657,2.85847589424572,2.71583754918494,2.85393258426966,2.79133858267717,2.652,2.53424657534247,2.64618249534451,2.80701754385965,2.70030120481928,2.6814279293004,2.73356144329807,2.72727272727273,2.7,2.60810810810811,2.68254207238138,2.69896193771626,2.73603966955031,2.6952494252259,2.66749992931191,2.74422442244224,2.65076923076923,2.59521793275218,2.64676616915423,2.58086993243243,2.62900505902192,2.63069139966273,2.625,2.61182525377099,2.625,2.57013122749971,2.62463343108504,2.59090909090909,2.59,2.59271195097038,2.61538461538462,2.6555023923445,2.65515692637606,2.69299134637873,2.74453781512605,2.75,2.74474959612278,2.72592592592593,2.69363610274071,2.76,2.76599532983071,2.77469670710572,2.75,2.74480712166172,2.81521739130435,2.79717877341817,2.74820143884892,2.74086378737542,2.72727272727273,2.71969696969697,2.79633027522936,2.91248836126629,2.91009174311927,2.9278113075366,2.91666666666667
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94801821484281,1.94139397594185,1.91086165794195,1.87625016542832,1.86715328467153,1.97045101088647,2.09384615384615,1.98826069886141,1.92059553349876,1.85323570853462,1.85461956521739,1.8020618556701,1.74118988391376
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,0.881147540983607,0.843645611904039,0.823610545832768,0.81577361612641,0.866663843229228,0.828207734493192,0.799009878185074,0.826429120562313,0.834641548927263,0.825491189745276,0.826446280991736,0.771276595744681,0.759548611111111,0.757575757575758,0.774023149688644,0.770712909441233,0.760803215847482,0.742894056847545,0.735809390329362,0.726665957393546,0.72480181200453,0.721825599796366,0.71819204292977,0.722789115646258,0.721520002653087,0.736771600803751,0.745632203956453,0.748502994011976,0.752164502164502,0.751190912422133,0.749216300940439,0.738770685579196,0.735294117647059,0.732017823042648,0.726941115164148,0.728404099560761,0.73409877994553,0.733026107146902,0.741185897435897,0.731850117096019,0.732323232323232,0.738847583643123,0.721153846153846,0.737463126843658,0.734753857457752,0.73023802182586,0.73018991486575,0.725219356235195,0.72463768115942,0.729166666666667,0.733886407147415,0.761421319796954,0.763888888888889,0.763203371331555,0.764419735927728,0.760869565217391,0.761146496815287,0.761217948717949,0.763525780928449,0.765615797997644,0.788342092689919,0.802817890877545,0.825994917665586,0.835895587644459,0.843504802849076,0.831399845320959,0.828212884843102,0.831733845169546,0.833017796289284,0.844801156329978,0.846383361360239,0.849502179512582,0.862068965517241,0.881385035837673,0.896253004615941,0.866317051008898,0.862614285519108,0.858059342421812,0.857843137254902,0.850261979791917,0.845921450151057,0.864779874213837,0.827990445469699,0.875890736342043,0.888157894736842,0.916334661354582,0.939119170984456,0.95,0.950143841882262,0.952903433688708,0.942234848484849,0.936454849498328,0.941544483032015,0.943396226415094,0.938511326860841,0.949820788530466,0.967465753424658,0.991019792170687,1.01639344262295,1.02040816326531,1.02496714848883,1.02982954545455,1.02306547619048,1.01634072682743,1.02695763799743,1.03400735294118,1.04263220439691,1.04578201254938,1.05928047556037,1.09367865296804,1.12676056338028,1.13357640537925
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,,,,,,2.30625511410128,2.2938478143551,2.18570402298851,2.04081632653061,1.96743421052632,2.11084905660377,2.15176767676768,2.125,2.15909090909091,2.15909090909091,2.15909090909091,2.15909090909091,2.05792676931548,2.1,2.14123006833713,2.16173120728929,2.16173120728929,2.13095238095238,2.17954545454545,2.08840048840049,2.00503778337532,1.9988864142539,2.09033613445378,2.19917582417582,2.15870904163587,2.20381526104418,2.22986111111111,2.45384615384615,2.43664717348928,2.31458333333333,2.40340181999147,2.58333333333333,2.6430551888038,2.45894031954887,2.56622516556291,2.64516756135816,2.66436856459569,2.66436856459569,2.71428571428571,2.72343522561863,2.78779008310159,2.72358244365362,2.9469696969697,2.91627725856698,2.94974747474747,2.92142857142857,2.95454545454545,3.13571428571429,3.19726201478743,3.11744212657336,2.9390092879257,2.94117647058824,2.91528239202658,2.91068422318422,2.9,2.94790706605223,2.95375122189638,2.95542806707855,3.1,3.08607594936709,3.17392156862745,2.99514563106796,2.93311036789298,3.21216617210683,3.525,3.43815789473684,3.40263157894737,3.39003033319115,3.31715210355987,3.30105633802817,3.29458177035412,3.29198473282443,3.26035237137041,3.17136998071716,3.10930859317026,3.14888888888889,2.9993481095176,3.4794776119403,3.38921282798834,3.47377049180328,3.53842105263158,3.58435582822086,3.58426966292135,3.59022556390977,3.58353510895884,3.68421052631579,3.63452690166976,3.640625,3.66310987176569,3.66302357063227,3.60757314974182,3.6655701754386,3.63636363636364
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69440652702597,2.625,2.72365805168986,2.72460775654819,2.59289176090468,2.68067226890756,2.68067226890756,2.75954636385032,2.77917770818277,2.60767601519135,2.68275862068965,2.68275862068965,2.68275862068965,2.74292774770534,2.77508090614887,2.78802303503618,2.78571428571429,2.81398195704819,2.79607239122064,3.13018867924528,2.8199460916442,2.95090559698058,2.65102040816327,2.83827511508259,2.75487256371814,2.86344537815126,2.96596434359805,2.9773413897281,3,2.98001792114695,3.01038062283737,3.06093189964158,3.1404958677686,3.11210339374687,3.02260504201681,3.09542918454936,3.04777594728171,3.08802445709467,3.13213703099511,3.15642458100559,3.18671454219031,3.20268006700167,3.22222222222222,3.24177631578947,3.25448613376835,3.34285714285714,3.26380187309149,3.26481715006305,3.34271523178808,3.25,3.26111111111111,3.32805071315372,3.31296296296296,3.29259259259259
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71428571428571,2.49204665959703,2.52911397943557,2.58876050420168,2.94334846478784,2.85,2.77777777777778,2.66402173913044,2.5,2.58548790658882,2.45833333333333,2.4,2.5,2.62684564672551,2.64446620959843,2.7,2.71345984112974
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,2.54545454545455,2.45657140393982,2.41894937586685,2.32558139534884,2.30087430817358,2.0054844606947,2.17865467865468,2.25,2.23684210526316,2.125,2.125,2.125,2.12971162579473,2.19435736677116,2.21428571428571,2.27678571428571,2.32558139534884,2.32142857142857,2.30202578268877,2.26480836236934,2.25,2.29166666666667,2.26217410040939,2.27272727272727,2.35042735042735,2.35042735042735,2.43589743589744,2.48338870431894,2.53423012250781,2.51798561151079,2.52777777777778,2.5,2.44444444444444,2.4359756097561,2.4468085106383,2.46295384951881,2.46370333702172,2.5,2.48868778280543,2.5257841573631,2.60814589933676,2.63157894736842,2.64852941176471,2.64550264550265,2.58928571428571,2.59259259259259,2.59541984732824,2.5833781844277,2.55555555555556,2.54237288135593,2.55952755905512,2.67949189985272,2.7336860670194,2.72277227722772,2.72727272727273,2.76546720266693,2.82159305147811,2.82608695652174,2.77179707054788,2.75,2.8125,2.78571428571429,2.84900284900285,2.99484466151133,2.99416725704431,2.94117647058824,2.94117647058824,2.9375,2.90803382663848,2.89772727272727,2.83123358012897,2.87878787878788,2.88713910761155,2.91154358319925,2.92602460482083,2.89571438281675,2.85466218428824,2.84712755598832,2.86885245901639,2.87828947368421,2.83251231527094,2.89855072463768,2.78145695364238,2.78676069693019,2.82142857142857,2.87384044526902,2.8125,2.83509125855797,2.81211797066015,2.80711046684508,2.88461538461538,2.95,2.90038167938931,2.82442748091603,2.77777777777778,2.625,2.76124704025256,2.79651552795031,2.94659300184162,2.97712345126138,3,2.869825708061,2.88888888888889,2.84324584264085,2.85481239804241,2.88322988250942,2.92341678939617,2.96476560487679,2.98941798941799,2.96023564064801,3.02325581395349,3.08677048260382
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60405082691759,1.60393498716852,1.67799308927904,1.675,1.6225,1.6297520661157,1.6565113115693,1.62073324905183,1.6100651524581,1.78571428571429,1.61869526546251,1.63218390804598,1.45669291338583,1.70846394984326,1.75657894736842,1.7575,1.7225,1.83823529411765,1.85029380434858,1.81679389312977,1.9162158774239,1.88040712468193,1.87437185929648,1.89473684210526,1.85714285714286,1.90117252931323,2.02438076958231,1.90568475452196,1.95149115959153,1.97466438536457,2,2,1.9975,2,1.97368421052632,1.99664991624791,1.92605064655172,1.93530542825306,1.98618307426598,1.96873055024089,2.00564971751412,2.0318878511712
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.33333333333333,2.22632296161708,2.15889464594128,2.04780390335258,2.0952380952381,2.06185567010309,2,1.9125,1.68478260869565,1.58382066276803,1.74345930232558,1.86757708725726,1.89652801286391,1.86827105763141,1.85537583254044,1.75438596491228,1.8160314609731,1.89128366510539,1.89737866300366,1.72413793103448,1.77525252525253,1.71875,1.65064575645756,1.67769363452524
